geometry,objectid,pop_id,location,geo_address,description,image_,image_alt_text,longitude,latitude,status,thumb_url,image_url,photo_credit,ward,ward_and_num,globalid
"{""type"":""Point"",""coordinates"":[-79.37382769999999,43.647939570000005]}",54,54,6-18 Church Street,18 Church St,"A publicly-accessible pedestrian walkway providing access from Church Street to Scott Lane, open and accessible between 7:00am and 11:00pm, 7 days a week.",6churchstreet.jpg,Image of a brick façade mid-rise building with construction fencing along the front at ground level.,-79.3738277,43.64793957,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2089.JPG,/ext/pln/pops/6churchstreet.jpg,,Toronto Centre,Toronto Centre (13),2f0be99f-5920-4ff2-8510-2db3648e4c53
"{""type"":""Point"",""coordinates"":[-79.37289219999997,43.64190791000004]}",55,55,25 Queens Quay East,25 Queens Quay E,"A publicly-accessible waterfront park including a wide setback along the Toronto Harbour and Yonge Street Slip and a contiguous park area, as well as a pedestrian connection from the eastern edge of the Site.",25queensquayeast.jpg,Image of a conceptual rendering of a plaza with tiled pedestrian walkway flanked by concrete planters with trees and shrubbery and benches.,-79.3728922,43.64190791,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/Pier27.jpg,/ext/pln/pops/25queensquayeast.jpg,,Spadina-Fort York,Spadina-Fort York (10),bbfb9ed0-8fd7-474a-b79a-7088c55eec10
"{""type"":""Point"",""coordinates"":[-79.42479992,43.64200598000002]}",56,56,38 Abell Street,38 Abell St,A publicly-accessible pedestrian walkway and bicycle path,,,-79.42479992,43.64200598,EXISTING,,,,Davenport,Davenport (9),bdb6d136-84cd-48b8-912a-23744cd297ed
"{""type"":""Point"",""coordinates"":[-79.38457384999998,43.67048719000002]}",57,57,85 Bloor Street East,85 Bloor St E,"A publicly-accessible pedestrian walkway at the southeast corner of the site, connecting the existing public walkway, open and accessible at all times that the TTC is operating.",,,-79.38457385000001,43.67048719,EXISTING,,,,University-Rosedale,University-Rosedale (11),95c20c8e-b103-4081-8319-45e2162323f6
"{""type"":""Point"",""coordinates"":[-79.39124767999999,43.66955107000001]}",58,58,86-100 Bloor Street West,100 Bloor  St W,A publicly-accessible pedestrian walkway that connects Bloor Street West with Critchley Lane.,86bloorstreetwest.jpg,"Image of a pedestrian walkway between two buildings, with stores on both sides and decorative elements above the walkway.",-79.39124767999999,43.66955107,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1691.JPG,/ext/pln/pops/86bloorstreetwest.jpg,,University-Rosedale,University-Rosedale (11),97526cdd-44e0-4a16-a0c0-b81ffe51bbff
"{""type"":""Point"",""coordinates"":[-79.39231394000001,43.64340938000004]}",59,59,352 Front Street West,352 Front St W,"A publicly-accessible pedestrian walkway, open and accessible 24 hours a day, 7 days a week.",352frontstreetwest.jpg,"Image of a small plaza with brick paving stones and built-in benches.  There is a parking lot, trees and buildings in the background.",-79.39231394000001,43.64340938,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1869.JPG,/ext/pln/pops/352frontstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),943d5438-98e9-49bc-9508-3d18d06f103b
"{""type"":""Point"",""coordinates"":[-79.48318803999996,43.62165465000004]}",61,61,2230 Lake Shore Boulevard West,2230 Lake Shore Blvd W,A publicly-accessible open space.,2230lakeshorebolevardwest.jpg,"Image of a paved pedestrian walkway flanked by grassed areas, with a building on the left side and treed area on the right side.",-79.48318803999999,43.62165465,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/2230LSBW2.JPG,/ext/pln/pops/2230lakeshorebolevardwest.jpg,,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),4588cfc8-e1bf-4f3a-a467-bd2cf27f7cd1
"{""type"":""Point"",""coordinates"":[-79.41103163999998,43.760482360000026]}",62,62,4726-4750 Yonge Street,4750 Yonge St,"A publicly-accessible open space abutting the retail on Yonge Street and Beecroft Road, open and accessible 24 hours a day, 365 days a year.",4750yongestreet.jpg,"Image of a conceptual rendering depicting the lower floors of a building with a grocery store on the ground level.  There are chairs, tables with umbrellas, trees and walking areas arranged around the outside of the building.",-79.41103164,43.76048236,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/4750yonge.jpg,/ext/pln/pops/4750yongestreet.jpg,,Willowdale,Willowdale (18),9598e277-ff7d-4037-8e2a-4d5a57188ac5
"{""type"":""Point"",""coordinates"":[-79.41339598999997,43.769825440000034]}",63,63,5170 Yonge Street,5170 Yonge St,"A publicly-accessible open space abutting the retail on Yonge Street and the Rose Garden Lands, open and accessible 24 hours a day, 365 days a year.",5170yongestreet.jpg,Image of a grassed area with trees and shrubs and buildings in the background.  There is a pedestrian walkway made of paving stones and concrete planters with flowers.,-79.41339599000001,43.769825440000005,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1937.JPG,/ext/pln/pops/5170yongestreet.jpg,,Willowdale,Willowdale (18),f5206f48-75b0-4566-a13d-c1a8b68c4088
"{""type"":""Point"",""coordinates"":[-79.25324868999996,43.774286320000044]}",64,64,"61,63-67 Town Centre Court",63 Town Centre Crt,"A publicly-accessible grade-separated pedestrian walkway over McCowan Road and Town Centre Court that provides direct access to McCowan RT Station. Additionally, this includes pedestrian walkways from the northwest corner of McCowan Rd and Ellesmere Rd.",61towncentrecourt.jpg,"Image of an area with a water feature, plants, flowers and trees.  There is a plaza in front made of paving stones, with a building in the background.",-79.25324869,43.77428632,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2021.JPG,/ext/pln/pops/61towncentrecourt.jpg,,Scarborough Centre,Scarborough Centre (21),ba3b8907-f00d-4377-b6a1-7c9384a0b5ef
"{""type"":""Point"",""coordinates"":[-79.39020662999997,43.67323200000004]}",65,65,76 Davenport Road,76 Davenport Rd,"Publicly-accessible open spaces on site, open and accessible 24 hours a day, 365 days a year, as well as a pedestrian setback area along Davenport Road in front of the building.",76davenportroad.jpg,"Image of an open grassed area with garden beds with shrubs, grasses and trees. There is a paved walkway along the building edge. ",-79.39020663,43.673232,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1644.JPG,/ext/pln/pops/76davenportroad.jpg,,University-Rosedale,University-Rosedale (11),9efe0e7f-af7e-49e1-aec7-89e2777e6db4
"{""type"":""Point"",""coordinates"":[-79.39223693999998,43.67120885000003]}",66,66,100 Yorkville Avenue,100 Yorkville Ave,"A publicly-accessible pedestrian walkway from Yorkville Avenue to Scollard Street, open and accessible between 6:00am and 2:00am, 365 days a year.",100yorkville.jpg,"Image of a paved area with raised planters with seasonal platning, shrubs and trees.",-79.39223694,43.67120885,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1653.JPG,/ext/pln/pops/100yorkville.jpg,,University-Rosedale,University-Rosedale (11),60271edd-54e3-42b2-8530-4e2b2b449da5
"{""type"":""Point"",""coordinates"":[-79.40156001999998,43.63482466000005]}",67,67,90 Stadium Road,90 Stadium Rd,A publicly-accessible setback at the southwest corner and a public pedestrian connection through the north end of the site between the Martin Goodman Trail and Stadium Road.,90stadiumroad.jpg,"Image of grassed area with garden bed and a raised garden bed full of shrubs, trees and seasonal planting. There is a water feature in the middle of the garden bed. ",-79.40156002,43.63482466,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2216.JPG,/ext/pln/pops/90stadiumroad.jpg,,Spadina-Fort York,Spadina-Fort York (10),10c7de67-7569-43e5-8877-2eaa4a62684a
"{""type"":""Point"",""coordinates"":[-79.39723493999998,43.63988967]}",68,68,100 Fort York Boulevard,100 Fort York Blvd,Publicly-accessible pedestrian walkways.,100fortyork.jpg,Image of a boardwalk with trees within. A garden bed in the backgroun and a paved walkway alongside the boardwalk. ,-79.39723494,43.63988967,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2160.JPG,/ext/pln/pops/100fortyork.jpg,,Spadina-Fort York,Spadina-Fort York (10),fb43309d-f378-484d-b3e5-f68f39f444b0
"{""type"":""Point"",""coordinates"":[-79.38381242999998,43.64969099000001]}",69,69,"100, 104, 120, 130 Adelaide Street West, 12, 22 Sheppard Street, and 85, 111 Richmond Street West",130 Adelaide St W,Publicly-accessible open space.,100adelaidestreetwest.jpg,Image of a sunny courtyard between two buildings with people sitting on concrete benches around the outside of the courtyard,-79.38381242999999,43.649690989999996,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2474.JPG,/ext/pln/pops/100adelaidestreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),977f690e-ea50-482d-8a1f-e4f8ff1aca4f
"{""type"":""Point"",""coordinates"":[-79.39481697999997,43.69620914000001]}",70,70,"137, 147, part of 35 Merton Street",35 Merton St,"A publicly-accessible walkway at the east side of 147 Merton Street, connecting Merton Street to the Beltline Park.",137merton.jpg,"Image of walkway between two buildings, sidewalk surfaced with rectangular paving stones",-79.39481698,43.69620914,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2559.JPG,/ext/pln/pops/137merton.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),36338e7d-7a3b-41f0-b668-0c24659db8bc
"{""type"":""Point"",""coordinates"":[-79.39527399999997,43.668700770000044]}",71,71,"192A, 194, 200 Bloor Street West",200 Bloor St W,"A publicly-accessible pedestrian walkway, open and accessible 24 hours a day, 7 days a week.",,,-79.395274,43.66870077,EXISTING,,,,University-Rosedale,University-Rosedale (11),0e88c15d-8ce3-437c-8db8-6f2bceb841a8
"{""type"":""Point"",""coordinates"":[-79.38011755999997,43.64744678000005]}",72,72,220 Bay Street,220 Bay St,"Publicly-accessible landscaped open space, open and accessible at all times.",220baystreet.jpg,"Image of a paved pedestrian walkway between two tall buildings with a ramp, stairs, statuary and concrete planters visible.",-79.38011756,43.647446779999996,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2372.JPG,/ext/pln/pops/220baystreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),9547cf69-2a98-4492-b969-5743a0cd4c37
"{""type"":""Point"",""coordinates"":[-79.46453696999998,43.66634086000005]}",73,73,403 Keele Street,403 Keele St,"Publicly-accessible open space, open and accessible at all times.",,,-79.46453697,43.66634086,EXISTING,,,,Parkdale-High Park,Parkdale-High Park (4),1547e31d-5460-4bd5-b4eb-50161e9b6e9b
"{""type"":""Point"",""coordinates"":[-79.39844918,43.63744815000001]}",74,74,450-470 Lake Shore Boulevard West,450 Lake Shore Blvd W,"A publicly-accessible pedestrian walkway between Housey Street and Lake Shore Boulevard West, open and accessible at all times.",450lakeshoreboulevardwest.jpg,"Image of a paved space beneath the Gardiner Expressway, with artistic lighting features visible and buildings in the background.",-79.39844918,43.63744815,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/450lakeshorew.jpg,/ext/pln/pops/450lakeshoreboulevardwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),3d83f737-a14f-4bf9-8b74-43748367a4cb
"{""type"":""Point"",""coordinates"":[-79.38369274999997,43.654722940000056]}",75,75,532-570 Bay Street,532 Bay St,"A publicly-accessible pedestrian walkway connecting Elizabeth Street and Bay Street, with public Art, Ken Lum's ""Across Time and Space, Two Children of Toronto Meet"".",532baystreet.jpg,"Image of a paved pedestrian walkway flanked by a brick wall on the left and concrete planters on the right, with tall buildings surrounding the walkway and statuary on the right.",-79.38369275,43.65472294,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/art.jpg,/ext/pln/pops/532baystreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),841c4e8b-ecc9-4588-94c4-8a1ccb7cf64c
"{""type"":""Point"",""coordinates"":[-79.44738178,43.77161042]}",76,76,555 Finch Avenue West,555 Finch Ave W,A publicly-accessible pedestrian trail.,,,-79.44738178,43.77161042,EXISTING,,,,York Centre,York Centre (6),9ced4b1b-d4a8-49f1-8004-59bb1efb51a4
"{""type"":""Point"",""coordinates"":[-79.40008072999996,43.636706230000016]}",77,77,600 Fleet Street,600 Fleet St,A publicly accessible pedestrian walkway along the northern edge of Fleet Street along the property.,600fleetstreet.jpg,"Image of a conceptual rendering of the lower levels of a tall building, with sidewalks including pedestrians and concrete planters filled with plants and trees.",-79.40008073,43.636706229999994,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/600fleet.jpg,/ext/pln/pops/600fleetstreet.jpg,,Spadina-Fort York,Spadina-Fort York (10),cbb7ae98-aa33-4d3a-877d-950f7405f7cf
"{""type"":""Point"",""coordinates"":[-79.36769132,43.65258797000001]}",78,78,406 Adelaide Street East,400 Adelaide St E,A publicly-accessible landscaped open space.,406adelaidestreeteast.jpg,"Image of a conceptual rendering of a building forecourt with a paved plaza area including water features, grassed areas with trees, and tall buildings surrounding it.",-79.36769131999999,43.652587970000006,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/406adelaideeast-ivory.jpg,/ext/pln/pops/406adelaidestreeteast.jpg,,Toronto Centre,Toronto Centre (13),e22038ea-c66e-4f91-b849-7d2c9a3ba442
"{""type"":""Point"",""coordinates"":[-79.39395743,43.64008874000001]}",79,79,15 Fort York Boulevard,15 Fort York Blvd,"A publicly-accessible open space with landscaping, seating and a water feature.",15fortyork.jpg,"Image of a courtyard with a water feature, benches and tables for visitors, and grassed areas with gardens and trees.  It is surrounded by buildings.",-79.39395743,43.64008874,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/15fortyork.JPG,/ext/pln/pops/15fortyork.jpg,,Spadina-Fort York,Spadina-Fort York (10),8c51755c-f896-4118-8e3a-88ca7637b65d
"{""type"":""Point"",""coordinates"":[-79.41039945,43.76093608000002]}",80,80,4775 Yonge Street,4773 Yonge St,The Hullmark Centre will incorporate a grand plaza at the southeast corner of Yonge Street and Sheppard Avenue East and will include outdoor seating and landscape features.,4775yongestreet.jpg,Image of a conceptual rendering of a building at the intersection of two streets.  There is a forecourt visible with trees and planters.,-79.41039945,43.76093608,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/4775yonge hullmark centre.jpg,/ext/pln/pops/4775yongestreet.jpg,,Willowdale,Willowdale (18),9bd05384-c288-4374-a7ab-059d3a6fd5e0
"{""type"":""Point"",""coordinates"":[-79.28210539999998,43.71553428000004]}",82,82,725 Warden Avenue,725 Warden Ave,A pedestrian walkway that connects 72 Warden Avenue and General Brock Public School.,725wardenroad.jpg,"Image of a plaza with paved pedestrian walkway, benches, concrete planters and trees.  Buildings surround the plaza.",-79.2821054,43.71553428,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/725warden.jpg,/ext/pln/pops/725wardenroad.jpg,,Scarborough Southwest,Scarborough Southwest (20),b57c8589-3bb1-4c8e-8995-ee3741418021
"{""type"":""Point"",""coordinates"":[-79.24517513999996,43.780404790000034]}",83,83,740 Progress Avenue,740 Progress Ave,A pedestrian walkway with landscaping.,740progressavenue.jpg,"Image of a building forecourt with paved pedestrian walkways, concrete planters with shrubbery and trees, and a white building with many windows in the background.",-79.24517514,43.78040479,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/740progress.jpg,/ext/pln/pops/740progressavenue.jpg,,Scarborough-Guildwood,Scarborough-Guildwood (24),4090900a-8781-4de6-92de-fd47d7398bc6
"{""type"":""Point"",""coordinates"":[-79.40549376999996,43.643136130000016]}",84,84,751 King Street West,751 King St W,"A publicly-accessible courtyard and pedestrian mews with pedestrian access from King Street West. The mews is open and accessible between 8:00am and 9:00pm, 365 days a year.",,,-79.40549377,43.643136129999995,EXISTING,,,,Spadina-Fort York,Spadina-Fort York (10),90d0d40f-7cfb-4ed7-830f-6d5e2c8e8fad
"{""type"":""Point"",""coordinates"":[-79.44623884999999,43.66503110000002]}",85,85,800 Lansdowne Avenue,800 Lansdowne Ave,A publicly-accessible pedestrian and bicycle pathway across the site from Lansdowne Avenue and Dupont Street.,800lansdowneavenue.jpg,Image of a six-storey building with grassed area and trees along the side.  A sidewalk and driveway are beside the grassed area.,-79.44623885,43.6650311,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/800lansdowne.jpg,/ext/pln/pops/800lansdowneavenue.jpg,,Davenport,Davenport (9),a4e8549c-0bdc-4d48-8679-7a6d687ffcf6
"{""type"":""Point"",""coordinates"":[-79.38649579999998,43.66200158000004]}",86,86,832 Bay Street,832 Bay St,"A publicly-accessible open space, open and accessible 24 hours a day, 7 days a week.",832baystreet.jpg,"Image of a small plaza beside a tall building, with paved surface and built-in metal chairs and tables for visitors.  There is a small area with shrubbery and young trees to the left.",-79.38649579999999,43.66200158,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1816.JPG,/ext/pln/pops/832baystreet.jpg,,University-Rosedale,University-Rosedale (11),7edd883c-e561-4ac6-8fd5-15939c58bd05
"{""type"":""Point"",""coordinates"":[-79.42332492999998,43.64008087000002]}",87,87,1100 King Street West,1100 King St W,A publicly-accessible bicycle path and pedestrian walkway.,,,-79.42332492999999,43.64008087,EXISTING,,,,Spadina-Fort York,Spadina-Fort York (10),aa858eb9-1b28-4b48-97bd-8d1c2d6fba04
"{""type"":""Point"",""coordinates"":[-79.39670691999999,43.70869647000001]}",88,88,58 Roehampton Avenue,70 Roehampton Ave,A mid-block pedestrian connection with landscaping and stepped amphitheatre seating that overlooks the school playing field.,58roehampton.jpg,"Image of a paved pedestrian walkway beside a mid-rise building.  There are built-in concrete planters with shrubs and trees, and an athletic field visible on the left side of the image.",-79.39670692,43.70869647,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/58roehampton.jpg,/ext/pln/pops/58roehampton.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),df3c7c1a-7908-45a0-8597-4ca80725b09e
"{""type"":""Point"",""coordinates"":[-79.39803103999998,43.70635157000004]}",89,89,2255 Yonge Street,2245 Yonge St,A publicly-accessible open space at the southeast corner of Yonge Street and Eglinton Avenue East.,2255yongestreet.jpg,"Image of a conceptual rendering of a plaza between two portions of a mid-rise building with grassed areas, trees, plants, pedestrian walkways and pergolas.",-79.39803103999999,43.706351569999995,FUTURE,https://map.toronto.ca/emaps/images/planning/pops/thumbs/2255yonge Minto Quantum.jpg,/ext/pln/pops/2255yongestreet.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),91816f07-433e-4738-8f35-ef68fd45feaf
"{""type"":""Point"",""coordinates"":[-79.39777114999998,43.70708265000002]}",90,90,8 Eglinton Avenue East,8 Eglinton Ave E,"A publicly-accessible open space along Eglinton Avenue East, just east of Yonge Street.",8eglintonavenueeast.jpg,"Image of a conceptual rendering of a building forecourt with paved walking areas, tables and chairs for visitors, artistic elements, trees and a green wall.",-79.39777115,43.707082650000004,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/8eglintoneast.jpg,/ext/pln/pops/8eglintonavenueeast.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),45685521-3af5-45dc-99f1-75dc6fae3383
"{""type"":""Point"",""coordinates"":[-79.39908352999998,43.70715758]}",91,91,2300 Yonge Street,2300 Yonge St,A publicly-accessible open space located at the northwest corner of Yonge Street and Eglinton Avenue West.,2300yongestreet.jpg,"Image of a conceptual rendering of a building forecourt with paved sidewalks, trees and a glass façade on the building.",-79.39908353,43.70715757999999,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/2300yonge.jpg,/ext/pln/pops/2300yongestreet.jpg,,Eglinton-Lawrence,Eglinton-Lawrence (8),1a519190-5d81-40b7-a7b9-5b787b1965da
"{""type"":""Point"",""coordinates"":[-79.40019457,43.68646419000004]}",92,92,129 St Clair Avenue West,129 St Clair Ave W,The POPS will be incorporated within the walls of a former church and will include landscaped seating areas.,129stclairavenuewest.jpg,"Image of a conceptual rendering of the area immediately in front of a church.  There are paved pedestrian areas, tables and chairs for visitors, benches and trees.",-79.40019457,43.68646419,FUTURE,https://map.toronto.ca/emaps/images/planning/pops/thumbs/stclair12941.jpg,/ext/pln/pops/129stclairavenuewest.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),1eab1002-4e6e-41b2-a762-22e9b201a94e
"{""type"":""Point"",""coordinates"":[-79.39781856999997,43.70575154000005]}",94,94,2195 Yonge Street,2195 Yonge St,A publicly-accessible pedestrian access and courtyard to the east of the site. The space may be closed between the hours of 2:00am and 6:00am.,,,-79.39781857,43.70575154,EXISTING,,,,Toronto-St. Paul's,Toronto-St. Paul's (12),c6ccbb3c-528e-4e56-9047-c6326d9f02c3
"{""type"":""Point"",""coordinates"":[-79.48764833999996,43.648026130000005]}",95,95,2500 Bloor Street West,2500 Bloor St W,A publicly-accessible open space adjacent to Traymore Park.,,,-79.48764834,43.648026130000005,EXISTING,,,,Parkdale-High Park,Parkdale-High Park (4),76e621b3-f5d1-4b7f-8dd9-9a131ba6d765
"{""type"":""Point"",""coordinates"":[-79.53114260999996,43.645408650000036]}",96,96,5055 Dundas Street West,5055 Dundas St W,"A publicly-accessible open space and pedestrian walkway, connecting to the existing school, park space and subway. It will be open and accessible 24 hours a day.",,,-79.53114260999999,43.64540865,EXISTING,,,,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),918707f3-e115-460a-bcef-fe5c1b24142e
"{""type"":""Point"",""coordinates"":[-79.53697912999996,43.63894158000005]}",97,97,5233 Dundas Street West,5233 Dundas St W,Two publicly-accessible pedestrian walkways.,,,-79.53697913,43.63894158,EXISTING,,,,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),c59a61b6-1c12-4e57-b3ab-885cc24ba833
"{""type"":""Point"",""coordinates"":[-79.41435303999998,43.77647768000003]}",98,98,5435 Yonge Street,5435 Yonge St,"A publicly-accessible landscaped open space at the southwest corner of Doris Ave and Byng Ave, as well as a pedestrian walkway that connects this space to Yonge St. Both are open and accessible to the public between 6:00am and 12:01 am, 365 days a year.",5435yongestreet.jpg,"Image of a plaza with small area of paving stones, garden areas with shrubs/plants/trees, incorporated lighting, built-in benches with overhead cover, and buildings surrounding it.",-79.41435304,43.77647768,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1955.JPG,/ext/pln/pops/5435yongestreet.jpg,,Willowdale,Willowdale (18),0453da9a-db74-49ea-828d-fd51fc75aa01
"{""type"":""Point"",""coordinates"":[-79.2545308,43.77284448]}",99,99,"1,11 Town Centre Court",1 Town Centre Crt,"A privately owned publicly-accessible space is located at the corner of Town Centre Court and Borough Drive, and includes a misting fountain, sculptures and other elements.",1towncentrecourt.jpg,"Image of a small area with concrete planter, paved area with large stones on top, and a pergola made of metal and wood overhanging it.",-79.2545308,43.772844479999996,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/CENTROSCARBOROUGH.jpg,/ext/pln/pops/1towncentrecourt.jpg,,Scarborough Centre,Scarborough Centre (21),479a0554-3398-4ab3-b0ae-f4b781f8b15e
"{""type"":""Point"",""coordinates"":[-79.36663474,43.65281802000004]}",100,100,460 Adelaide Street East,460 Adelaide St E,A publicly-accessible landscaped open space.,460adelaidestreeteast.jpg,"Image of a conceptual rendering of a building forecourt with paved pedestrian areas, water feature, concrete planters, trees, and tables and chairs for visitors.",-79.36663474000001,43.65281802,FUTURE,https://map.toronto.ca/emaps/images/planning/pops/thumbs/460adelaideeast-axiom.jpg,/ext/pln/pops/460adelaidestreeteast.jpg,,Toronto Centre,Toronto Centre (13),627d937b-687e-4fe9-a57e-e68ff145bc5b
"{""type"":""Point"",""coordinates"":[-79.26333209,43.774481570000034]}",101,101,1680 Brimley Road,,,,,-79.26333209,43.77448157,FUTURE,,,,Scarborough Centre,Scarborough Centre (21),ebae2dc6-87cd-4ea3-aa41-143dc251710d
"{""type"":""Point"",""coordinates"":[-79.33996281999998,43.72107847000001]}",102,102,"844 Don Mills Road, 1150 and 1155 Eglinton Avenue East",,,,,-79.33996282,43.72107847,FUTURE,,,,Don Valley East,Don Valley East (16),4733f869-a5f5-48a9-8221-67cc9480c3ea
"{""type"":""Point"",""coordinates"":[-79.37453546,43.64322073000005]}",103,103,1-7 Yonge Street,,,,,-79.37453546,43.64322073,EXISTING,,,,Spadina-Fort York,Spadina-Fort York (10),99355ff6-20c2-4f3a-86eb-130696545346
"{""type"":""Point"",""coordinates"":[-79.37797939000001,43.64495407000004]}",104,104,45 and 141 Bay Street,,,,,-79.37797939,43.64495407,FUTURE,,,,Spadina-Fort York,Spadina-Fort York (10),aa0a3d37-fab3-41a8-9ecb-554d239ab48e
"{""type"":""Point"",""coordinates"":[-79.42507173999996,43.64226949000005]}",105,105,48 Abell Street,,,,,-79.42507173999999,43.642269490000004,EXISTING,,,,Davenport,Davenport (9),75bad8ff-1c37-44e0-a171-978702e6b9aa
"{""type"":""Point"",""coordinates"":[-79.42453476999998,43.64190344000002]}",106,106,150 Sudbury Street,,,,,-79.42453477,43.64190344,EXISTING,,,,Davenport,Davenport (9),99a399a5-f46f-49f3-a07d-c14828fbe55a
"{""type"":""Point"",""coordinates"":[-79.38309145,43.65833335000002]}",107,107,33 Gerrard Street West,,,,,-79.38309145,43.65833335,EXISTING,,,,University-Rosedale,University-Rosedale (11),737bfe12-1a18-4587-9106-f9c909c443c4
"{""type"":""Point"",""coordinates"":[-79.36710539999996,43.77632927000002]}",108,108,1 Adra Villaway,,,,,-79.3671054,43.77632927,FUTURE,,,,Don Valley North,Don Valley North (17),bd3c4a57-91a5-485a-87b9-b2e5ce4df363
"{""type"":""Point"",""coordinates"":[-79.36718229999997,43.64566401000002]}",109,109,215 Lake Shore Boulevard East,,,,,-79.3671823,43.645664010000004,FUTURE,,,,Spadina-Fort York,Spadina-Fort York (10),915384f8-55da-40e4-84e9-91dec96d6ddf
"{""type"":""Point"",""coordinates"":[-79.39376984999996,43.64750373000004]}",110,110,350-354 Adelaide Street West and 102-118 Peter Street,,,,,-79.39376985,43.647503730000004,FUTURE,,,,Spadina-Fort York,Spadina-Fort York (10),6c129496-cd1f-4d14-b871-9b3a9a571ce3
"{""type"":""Point"",""coordinates"":[-79.40337490999997,43.66395302000001]}",111,111,666 Spadina Avenue,,,,,-79.40337491,43.66395302,EXISTING,,,,University-Rosedale,University-Rosedale (11),78552763-1ef9-4574-b1fa-012f6039f91e
"{""type"":""Point"",""coordinates"":[-79.52468918,43.64677679000005]}",113,113,70 Cordova Avenue,,,,,-79.52468918000001,43.646776790000004,EXISTING,,,,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),7803f6d6-6ce1-4ec7-aac5-094e0aa647e0
"{""type"":""Point"",""coordinates"":[-79.47726036,43.626881560000015]}",114,114,"58, 68 Marine Parade Drive",,A central publicly-accessible open space.,,,-79.47726036,43.62688156,EXISTING,,,,Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),aefd2153-0f10-4d86-aaef-3865957ba82d
"{""type"":""Point"",""coordinates"":[-79.61186463999996,43.721469110000044]}",115,115,50 Humberwood Boulevard,,,,,-79.61186464000001,43.72146911,EXISTING,,,,Etobicoke North,Etobicoke North (1),26c7d6bf-eed9-4c23-afc5-57f0b5e1487f
"{""type"":""Point"",""coordinates"":[-79.3454582,43.78025015000003]}",117,117,3-5 Allenbury Gardens,,,,,-79.3454582,43.78025015,EXISTING,,,,Don Valley North,Don Valley North (17),954b9c7e-f4a9-4505-8331-9f2307da6d11
"{""type"":""Point"",""coordinates"":[-79.42531914,43.642469970000036]}",118,118,1155 Queen Street West,,,,,-79.42531914,43.64246997,EXISTING,,,,Davenport,Davenport (9),18317fae-aab4-4c3b-8f7d-4f21cadbb05a
"{""type"":""Point"",""coordinates"":[-79.36670860999999,43.65275906000005]}",119,119,424-460 Adelaide Street East,,,,,-79.36670860999999,43.65275906,EXISTING,,,,Toronto Centre,Toronto Centre (13),818e56af-9d9a-47e4-be9f-73285ec381b0
